City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,ouallam,14.3188,2.0866,36.53,8,100,6.2,NE,1675699734
239,xuddur,4.1213,43.8894,28.22,28,11,4.84,SO,1675699734
240,ontario,34.0633,-117.6509,11.96,85,20,1.54,US,1675699270
241,marawi,7.9986,124.2928,19.84,93,100,0.57,PH,1675699735
242,oussouye,12.485,-16.5469,32.54,17,29,5.98,SN,1675699735
243,kavieng,-2.5744,150.7967,27.32,78,100,4.8,PG,1675699736
244,niimi,34.9833,133.4667,5.86,93,100,0.95,JP,1675699736
245,iqaluit,63.7506,-68.5145,-31.84,67,100,4.92,CA,1675699736
246,sabang,5.8933,95.3214,27.31,77,86,5.92,ID,1675699737
247,dunedin,-45.8742,170.5036,14.89,90,51,1.79,NZ,1675699737
248,saldanha,-33.0117,17.9442,20.86,86,47,6.19,ZA,1675699738
249,sikonge,-5.6333,32.7667,19.9,86,98,1.06,TZ,1675699738
250,soldotna,60.4878,-151.0583,-1.01,69,100,4.12,US,1675699738
251,hambantota,6.1241,81.1185,25.19,100,75,0.51,LK,1675699739
252,luanda,-8.8368,13.2343,27.81,70,84,4.18,AO,1675699609
253,sitka,57.0531,-135.33,2.94,87,75,2.57,US,1675699739
254,guasdualito,7.2424,-70.7324,32.81,36,96,3.77,VE,1675699739
255,wenling,28.3669,121.36,12.04,91,100,4.11,CN,1675699740
256,rio grande,-32.035,-52.0986,33.06,54,0,3.4,BR,1675699741
257,eyl,7.9803,49.8164,24.71,69,72,8.29,SO,1675699742
258,tarakan,3.3,117.6333,25.72,94,40,1.03,ID,1675699742
259,ponta do sol,32.6667,-17.1,17.85,48,5,2.98,PT,1675699725
260,bonthe,7.5264,-12.505,29.69,54,95,5.7,SL,1675699743
261,srednekolymsk,67.45,153.6833,-37.27,100,97,2.51,RU,1675699743
262,isangel,-19.55,169.2667,26.34,84,100,2.11,VU,1675699744
263,constantine,36.365,6.6147,9.67,76,75,4.12,DZ,1675699572
264,cortez,37.3489,-108.5859,-0.72,89,0,1.54,US,1675699497
265,quang ngai,15.1167,108.8,21.43,95,46,2.37,VN,1675699744
266,dabakala,8.3667,-4.4333,36.68,21,99,2.93,CI,1675699745
267,strezhevoy,60.7333,77.5889,-17.4,100,100,0.85,RU,1675699745
268,limbe,4.0242,9.2149,28.37,73,51,4.43,CM,1675699642
269,muroto,33.2833,134.15,11.37,58,100,2.5,JP,1675699746
270,mount gambier,-37.8333,140.7667,12.2,93,5,2.1,AU,1675699465
271,kefamenanu,-9.4467,124.4781,21.81,96,100,1.36,ID,1675699746
272,calabar,4.9517,8.322,31.94,54,13,4.91,NG,1675699747
273,khatanga,71.9667,102.5,-40.27,100,38,1.85,RU,1675699747
274,cacu,-18.5567,-51.1308,30.09,57,90,2.81,BR,1675699748
275,fuerte olimpo,-21.0415,-57.8738,33.61,45,66,2.54,PY,1675699748
276,tatarsk,55.219,75.9828,-12.94,97,100,1.08,RU,1675699748
277,zharkent,44.1628,80.0,-4.19,83,93,2.09,KZ,1675699749
278,samana,19.2056,-69.3369,28.12,78,20,2.06,DO,1675699750
279,kamenka,51.3223,42.7678,-12.89,94,77,2.87,RU,1675699750
280,lagoa,39.05,-27.9833,13.85,71,86,13.43,PT,1675699751
281,sinnamary,5.3833,-52.95,26.05,86,86,5.44,GF,1675699751
282,kerman,30.2832,57.0788,13.07,22,93,2.94,IR,1675699752
283,crixas,-14.5489,-49.9692,26.27,71,97,0.59,BR,1675699753
284,aklavik,68.2191,-135.0107,-40.62,100,94,1.08,CA,1675699753
285,ancud,-41.8697,-73.8203,16.32,61,4,3.33,CL,1675699754
286,rio gallegos,-51.6226,-69.2181,18.12,42,100,12.75,AR,1675699754
287,kavaratti,10.5669,72.642,27.24,73,4,6.0,IN,1675699755
288,san ramon,37.7799,-121.978,8.23,91,0,0.0,US,1675699755
289,jumla,29.2747,82.1838,2.85,82,45,1.45,NP,1675699756
290,santiago del estero,-27.7951,-64.2615,35.29,21,0,4.2,AR,1675699756
291,yining,29.0361,114.5636,9.65,97,100,0.47,CN,1675699757
292,malanje,-9.5402,16.341,22.32,83,70,2.38,AO,1675699757
293,xinzhi,36.4989,111.7047,6.01,42,100,0.66,CN,1675699757
294,ilulissat,69.2167,-51.1,-18.99,71,75,4.12,GL,1675699758
295,khanewal,30.3,71.9333,16.21,44,0,3.57,PK,1675699758
296,solnechnyy,50.7214,136.6319,-23.05,96,70,1.52,RU,1675699759
297,tuatapere,-46.1333,167.6833,15.23,72,75,3.89,NZ,1675699759
